Meas_ID,input_fwd,input_rev,trimmed,qual_fltr,unique,vector_bwa,vector_blat,human_bwa,human_blat,mRNA_unique,mRNA,contigs,unassembled,kaiju_tax,kaiju_genus,bwa_mcds_contigs,bwa_mcds_unassembled,dmnd_refseq,dmnd_seed,dmnd_nr_contigs,dmnd_nr_unassembled
M3339_DBUsw_39r_TrM31,4032698,4032698,3528538,3527431,2050939,2050792,2050788,2050792,2050792,1988935,3526706,3287,746136,473773,473773,1280,119621,527821,371174,1891,674691
M3340_DBUsw_40r_TrM31,4221016,4221016,3720835,3719782,2190678,2190522,2190516,2190522,2190522,2124671,3718153,4251,789908,598327,598327,2044,150723,645726,453784,2228,794076
M3341_DBUsw_41r_TrM31,4106571,4106571,3624643,3623703,1990998,1990908,1990906,1990908,1990908,1886753,3623000,3161,643913,387421,387421,1246,100252,476564,332334,1560,586902
M3342_DBUsw_42r_TrM31,4137439,4137439,3660450,3659455,2109936,2109679,2109674,2109679,2109679,2024398,3658060,3965,1007097,602004,602004,1666,168630,663419,472872,2115,878613
M3343_DBUsw_43r_TrM31,4497787,4497787,3834619,3833628,2484260,2484002,2483992,2484002,2484002,2379809,3832837,4897,848502,651683,651683,2242,193419,783195,511093,2903,1009619
M3344_DBUsw_44r_TrM31,4231881,4231881,3675096,3673576,1893006,1892957,1892954,1892957,1892957,1789798,3672834,2469,561362,323307,323307,1095,84739,381699,271565,1224,491325
M3345_DBUsw_45r_TrM31,4767986,4767986,4249354,4248183,2409553,2409416,2409411,2409416,2409416,2297252,4246134,3729,687830,541723,541723,1613,137379,569705,420951,1683,628531
M3346_DBUsw_46r_TrM31,4207075,4207075,3467324,3466252,2190121,2190047,2190047,2190047,2190047,0,3465402,2327,408924,309261,309261,1367,87686,407292,348528,811,360083
M3347_DBUsw_47r_TrM31,3617775,3617775,2935172,2933959,2079178,2078987,2078970,2078987,2078987,1828975,2931463,5266,682635,810418,810418,3369,174652,929988,632198,3092,1006721
M3348_DBUsw_48r_TrM31,3217803,3217803,2796964,2795966,1717348,1717190,1717187,1717190,1717190,1656254,2794592,2912,636633,452085,452085,1320,123524,452446,349772,1240,572948
M3349_DBUsw_49r_TrM31,3677646,3677646,3182937,3181892,1880461,1880379,1880376,1880379,1880379,0,3181178,1990,353314,262269,262269,1247,70236,314699,286614,486,313022
M3350_DBUsw_50r_TrM31,3221364,3221364,2871743,2871016,1760046,1759943,1759940,1759943,1759943,1701229,2869673,2645,609142,394630,394630,1180,109963,411511,302384,1152,532356
M3351_DBUsw_51r_TrM31,3257769,3257769,2901468,2900580,1799644,1799530,1799520,1799530,1799530,1740590,2899319,3090,697101,442764,442764,1368,132731,481039,340420,1495,644177
M3352_DBUsw_52r_TrM31,3753395,3753395,3330806,3329852,2680804,2679419,2679388,2679419,2679419,2652184,3326930,8910,1142105,1858678,1858678,5816,359852,2158770,1571750,10318,2149613
M3353_DBUsw_53r_TrM31,3622971,3622971,3002858,3001802,1699619,1699572,1699572,1699572,1699572,0,3001324,1228,209360,138080,138080,880,63255,313024,267725,798,286267
M3354_DBUsw_54r_TrM31,3465562,3465562,3060242,3059567,1728054,1727753,1727752,1727753,1727753,1664498,3051258,2896,750566,538952,538952,1669,189665,701110,384925,2443,845681
M3355_DBUsw_55r_TrM31,4151117,4151117,3616181,3615212,2310442,2309890,2309886,2309890,2309890,2228223,3613797,5035,794841,698976,698976,2933,228322,903074,511499,4285,1177930
M3356_DBUsw_56r_TrM31,4168265,4168265,3368611,3367101,2411920,2411494,2411490,2411494,2411494,2384216,3366328,7068,833828,1148422,1148422,2852,189092,1375145,864035,8974,1250817
M3357_DBUsw_57r_TrM31,4128646,4128646,3748317,3747426,2155479,2155183,2155181,2155183,2155183,2014050,3746456,3106,757336,476907,476907,1664,157570,562802,380583,2238,866532
M3358_DBUsw_58r_TrM31,3848390,3848390,3367485,3366561,2187021,2186575,2186572,2186575,2186575,2120405,3364251,5598,1002267,840823,840823,3001,227600,894334,641930,3858,1205565
M3359_DBUsw_59r_TrM31,4020251,4020251,3362669,3361502,2111079,2110716,2110713,2110716,2110716,2057936,3360373,4653,978805,600982,600982,1922,177785,748901,456485,3684,971611
M3360_DBUsw_60r_TrM31,3950715,3950715,3277637,3276496,2094463,2094196,2094188,2094196,2094196,2031740,3274984,3655,792565,548034,548034,1547,158876,612930,414620,1976,804337
M3361_DBUsw_61r_TrM31,4621714,4621714,3805430,3804122,2305887,2305703,2305700,2305703,2305703,0,3802953,2696,411103,352325,352325,1787,112824,520513,454349,1119,471212
